#,Reference,Qty,Value,Footprint,DNP
1,"D1, D2",2,LTST-C193TGKT-5A,LED_SMD:LED_0402_1005Metric,
2,J1,1,Power,Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical,
3,J2,1,Digital/PWM,Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical,
4,J3,1,Analog,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical,
5,J4,1,Digital/PWM,Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical,
6,"J5, J7, J9",3,Conn_01x04_Socket,Connector_PinSocket_1.27mm:PinSocket_1x04_P1.27mm_Vertical,
7,"J6, J10",2,Conn_01x03_Socket,Connector_PinSocket_1.27mm:PinSocket_1x03_P1.27mm_Vertical,
8,J8,1,Conn_01x05_Socket,Connector_PinSocket_1.27mm:PinSocket_1x05_P1.27mm_Vertical,
9,LED1,1,LDQ-M3604RI,Display_7Segment:CA56-12CGKWA,
10,"R1, R2",2,RC0603JR-071KL,Resistor_SMD:R_0201_0603Metric,
11,"S1, S2",2,8-1437565-1,Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK,
12,U1,1,TB6612FNG,Package_SO:SSOP-24_5.3x8.2mm_P0.65mm,
13,U2,1,ULN2003,ULN2003A:DIL16,
14,"U5, U6",2,MC74HC595AD,LDQ-M3604RI (1):LDQ-M3604RI,
15,VR1,1,3362P-1-103LF,Potentiometer_SMD:Potentiometer_ACP_CA6-VSMD_Vertical,
